index,doi,url,custom-analysis,cited-program,used-data,cited-data,used-results,cited-results,country,report,agency,bbs_auths,notes,bbs.og_citation
us2020adaptive,,https://www.fws.gov/migratorybirds/pdf/management/AHM/AHMReport2020.pdf,,,,,,,,y,fws,no,,"Boomer, G.S., Zimmerman, G.S. Adaptive Harvest Management: 2020 Hunting Season. Washington, D.C.:U.S. Fish and Wildlife Service, 2019."
,,,,,,,,,,y,,,did not find this year on GS,"Seamans, Mark E. Band-tailed pigeon population status, 2019. Washington, D.C.:U.S. Fish and Wildlife Service, 2019."
brenner2019distribution,,https://birds.outdoornebraska.gov/wp-content/uploads/2019/10/Nightjar-distribution-in-eastern-Nebraska.pdf,,,no,,yes,,usa,y,nebraska game and parks commission,,,"Brenner, S. J., Jorgensen, J. G. Distribution, abundance, and habitat associations of Chuckwill’s-widow (Antrostomus carolinensis) and Eastern Whippoor-will (Antrostomus vociferus) in eastern Nebraska . Lincoln, Nebraska:Nongame Bird Program of the Nebraska Game and Parks Commission, 2019."
,,,,,,,,,,y,fws,no,did not find this year on GS,"Dooley, Joshua,  Rhodes, Walt, Zimpfer, Nathan Waterfowl population status, 2019. Washington, D.C.:U.S. Fish and Wildlife Service, 2019."
zimmerman2019allowable,,,,,,,,sauer2017; ,,,,yes,,"Zimmerman, Guthrie S., Millsap, Brian A., Avery, Michael L., Sauer, John R., Runge, Michael C., Richkus, Kenneth D. (2019). Allowable Take of Black Vultures in the Eastern United States. The Journal of Wildlife Management. 83:272-282."
,,,,,,,,,,,,,,"López-Calderón, C., Van Wilgenburg, Steven L., Roth, Amber M., Flaspohler, David J., Hobson, Keith A. (2019). An evaluation of isotopic (d2H) methods to provide estimates of avian breeding and natal dispersal. Ecosphere. 10:e02663."
,,,,,,,,,,,,,,"Colombo, E. H. (2019). Connecting metapopulation heterogeneity to aggregated lifetime statistics. Ecological Complexity. 39:1-7."
,,,,,,,,,,,,,,"Rosenberg, Kenneth V., Dokter, Adriaan M. , Blancher, Peter J., Sauer, John R., Smith, Adam C., Smith, Paul A.,  Stanton, Jessica C., Panjabi, Arvind, Helft, Laura, Parr, Michael, Marra, Peter P. (2019). Decline of the North American avifauna. Science. 366:120-124."
,,,,,,,,,,,,,,"Steen, Valerie A., Elphick, Chris S. Elphick, Tingley, Morgan W. (2019). An evaluation of stringent filtering to improve species distribution models from citizen science data. Diversity and Distributions. 25:1857-1869."
,,,,,,,,,,,,,,"Reiley, Bryan M., Stodola, Kirk W., Benson, Thomas J. (2019). Are avian population targets achievable through programs that restore habitat on private-lands?. Ecosphere. 10:e02574."
,,,,,,,,,,,,,,"Bohannon, Richard, Blinnikov, Mikhail (2019). Habitat Fragmentation and Breeding Bird Populations in Western North Dakota after the Introduction of Hydraulic Fracturing. Annals of the American Association of Geographers. 109:1471-1492."
,,,,,,,,,,,,,,"Walsh, Eric S., Vierling, Kerri T., Strand, Eva, Bartowitz, Kristina, Hudiburg, Tara W. (2019). Climate change, woodpeckers, and forests: Current trends and future modeling needs. Ecology and Evolution. 9:2305-2319."
,,,,,,,,,,,,,,"Haig, Susan M., Murphy, Sean P., Matthews, John H., Arismendi, Ivan, Safeeq, Mohammad (2019). Climate-Altered Wetlands Challenge Waterbird Use and Migratory Connectivity in Arid Landscapes. Scientific Reports. 9:1-10."
,,,,,,,,,,,,,,"Sofaer, Helen R., Flather, Curtis H., Skagen, Susan K., Steen, Valerie A., Noon, Barry R. (2019). Clustering and ensembling approaches to support surrogate-based species management. Diversity and Distributions. 25:1246-1258."
,,,,,,,,,,,,,,"Kannan, R., Jackson, J., Brooks, E. (2019). History and Current Status of the Inca Dove (Columbina inca) in Arkansas. Journal of the Arkansas Academy of Science. 73:65-71."
,,,,,,,,,,,,,,"Sauer, John R., Link, William A., Ziolkowski, David J., Pardieck, Keith L., Jr., Twedt, Daniel J. (2019). Consistency counts: Modeling the effects of a change in protocol on Breeding Bird Survey counts. Condor. 121:1-22."
,,,,,,,,,,,,,,"Janousek, William M., Hahn, Beth A., Dreitz, Victoria J. (2019). Disentangling monitoring programs: design, analysis, and application considerations. Ecological Applications. 29:e01922."
,,,,,,,,,,,,,,"Miao, Ruiqing, Ghosh, Prasenjit N., Khanna, Madhu, Wang, Weiwei, Rong, Jian (2019). Effect of wind turbines on bird abundance: A national scale analysis based on fixed effects models. Energy Policy. 132:357-366."
,,,,,,,,,,,,,,"Gilbert, Neil A., Horne, Howard E., Trent, John A. (2019). Mind the gap: The Painted Bunting (Passerina ciris) breeds in central Alabama and eastern Mississippi. Wilson Journal of Ornithology. 131:147-152."
,,,,,,,,,,,,,,"Stanton, Jessica C., Blancher, Peter, Rosenberg, Kenneth V., Panjabi, Arvind O., Thogmartin, Wayne E. (2019). Estimating uncertainty of North American landbird population sizes. Avian Conservation and Ecology. 14:"
,,,,,,,,,,,,,,"Spiller, Kimberly J., Dettmers, Randy (2019). Evidence for multiple drivers of aerial insectivore declines in North America. The Condor. 121:1-13."
,,,,,,,,,,,,,,"Rushing, Clark S., Royle, J. Andrew, Ziolkowski, David J., Pardieck, Keith L. (2019). Modeling spatially and temporally complex range dynamics when detection is imperfect. Scientific Reports. 9:"
,,,,,,,,,,,,,,"Brown, Jeffrey A. (2019). The Influence of urbanization and surrounding landscape on wildlife in natural areas."
,,,,,,,,,,,,,,"Roberts, Caleb P., Twidwell, Dirac, Angeler, David G., Allen, Craig R. (2019). How do ecological resilience metrics relate to community stability and collapse?. Ecological Indicators. 107:1-9."
